participant_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
c1210910,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1
c1214313,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,1,0,0,0,1,0
c1219715,2,3,5,4,4,3,2,3,2,6,4,3,3,0,0,0,0,0,0,4,4,4,2,2,2
c1316438,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1
c1332603,7,9,7,6,8,7,7,2,2,5,4,8,6,5,6,7,5,7,8,4,7,9,7,7,6
c1332972,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,2,2,0,0
c1406813,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,4,1,0
c1414041,1,0,2,1,2,2,6,1,3,5,3,3,3,1,2,0,0,1,2,5,3,5,3,2,4
c1422310,2,5,5,5,5,6,4,3,5,7,4,7,5,7,8,7,5,4,6,8,8,4,4,5,5
c1428155,0,2,2,2,4,2,1,6,2,0,4,3,3,3,3,2,3,4,5,4,6,7,5,4,7
c1429501,1,2,3,1,3,4,2,2,2,3,4,5,3,7,7,4,4,2,5,7,3,5,7,5,4
c1436560,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
c1436601,1,1,3,1,2,1,2,1,2,1,0,2,2,3,1,3,5,3,1,1,3,1,2,2,4
c1442429,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c1462216,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
c1476575,2,3,1,3,2,5,4,4,1,4,3,1,3,3,2,2,4,6,6,3,3,2,4,1,3
c1500258,4,2,4,2,4,2,3,5,4,6,9,3,5,2,4,6,3,8,1,4,5,2,2,3,3
c1510407,0,3,1,3,5,2,2,4,4,3,7,3,4,8,6,7,4,5,9,5,5,7,6,5,7
c1512071,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,1,0,1,1,1,0,0
c1514333,3,4,2,2,2,3,4,2,4,1,2,3,4,4,4,3,2,1,4,3,4,2,2,2,0
c1516685,4,2,0,4,5,4,3,6,3,6,4,6,5,5,6,3,5,3,8,8,6,7,7,8,5
c1520925,5,4,4,4,3,7,6,7,3,5,6,5,3,6,5,6,7,2,6,9,6,6,5,6,3
c1528148,3,3,3,4,5,4,4,4,6,6,6,6,5,6,6,1,2,0,0,6,7,6,4,8,8
c1530539,1,0,0,1,0,1,0,2,1,1,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0
c1530965,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0
c1574067,2,0,1,2,1,4,5,3,4,1,3,4,7,4,1,2,3,6,2,4,5,3,2,3,5
